date,title,url,domain,category,query,date_parsed
,MP : Congress holds protest over farmer issue in Indore,https://www.bignewsnetwork.com/news/274854879/mp-congress-holds-protest-over-farmers-issue-in-indore,bignewsnetwork.com,china_supply,garlic import China India,
,MP : Congress holds protest over farmer issue in Indore,https://aninews.in/news/national/politics/mp-congress-holds-protest-over-farmers-issue-in-indore2024,aninews.in,china_supply,garlic import China India,
,Farmers protest in Indore against substandard Chinese garlic imports,https://www.prokerala.com/news/articles/a1591322.html,prokerala.com,china_supply,garlic import China India,
,"UPSC Key - 6th Dec 2024 : India - China Border Dispute , Adani Green Solar Power and Potato production",https://indianexpress.com/article/upsc-current-affairs/upsc-key-india-china-border-dispute-adani-gre,indianexpress.com,china_supply,garlic import China India,
,Tariffs cuts aid NZ growers,https://www.interest.co.nz/rural-news/131062/gradual-and-multi-speed-fall-tariffs-helping-horticultu,interest.co.nz,china_supply,garlic import China India,
,Newton County Times Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,157972",newtoncountytimes.com,china_supply,garlic import China India,
,Newton County Times Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,157291",newtoncountytimes.com,china_supply,garlic import China India,
,Newton County Times Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,156610",newtoncountytimes.com,china_supply,garlic import China India,
,Newton County Times Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,152858",newtoncountytimes.com,china_supply,garlic import China India,
,India aims to cut fruit imports and focus on horticulture exports,https://www.freshplaza.com/north-america/article/9829088/india-aims-to-cut-fruit-imports-and-focus-o,freshplaza.com,china_supply,garlic import China India,
,FNB News - India - Source of 75 of 109 different types of spices,http://www.fnbnews.com/Top-News/india--source-of-75-of-109-different-types-of-spices-86474,fnbnews.com,china_supply,garlic import China India,
,Iran War Threatens Global Food Security as Gulf Fertiliser Supply Crisis Deepens,https://www.potatopro.com/news/2026/iran-war-threatens-global-food-security-gulf-fertiliser-supply-c,potatopro.com,china_supply,garlic import China India,
,"Global Dehydrated Meat Snacks Market Forecast 2026 - 2036 : USD 1 . 56B to USD 3 . 78B | North America Leads , Asia Paci",https://www.finanznachrichten.de/nachrichten-2026-02/67732023-global-dehydrated-meat-snacks-market-f,finanznachrichten.de,china_supply,garlic import China India,
,Newton County Time Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,121067",newtoncountytimes.com,china_supply,garlic import China India,
,Of traditions and culinary art at this new Chinese restaurant in Mumbai,https://www.thehindu.com/food/dining/of-traditions-and-culinary-art-at-this-new-chinese-restaurant-i,thehindu.com,china_supply,garlic import China India,
,Newton County Time Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,119063",newtoncountytimes.com,china_supply,garlic import China India,
,Rice production in china – Talk Vietnam,https://www.talkvietnam.com/tag/rice-production-in-china/,talkvietnam.com,china_supply,garlic import China India,
,  Onion prices have risen sharply recently  ,https://www.freshplaza.com/asia/article/9573966/onion-prices-have-risen-sharply-recently/,freshplaza.com,china_supply,garlic import China India,
,Newton County Time Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,115330",newtoncountytimes.com,china_supply,garlic import China India,
,Food Safety and Food Security in Saint Lucia - St . Lucia News From The Voice,https://www.thevoiceslu.com/2023/10/food-safety-and-food-security-in-saint-lucia/,thevoiceslu.com,china_supply,garlic import China India,
,Newton County Time Outhouse Companion - Newton County Times,"http://newtoncountytimes.com/stories/newton-county-times-outhouse-companion,113455",newtoncountytimes.com,china_supply,garlic import China India,
,"Sauces , Dressings , and Condiments Market Set to Surpass USD",https://www.globenewswire.com/news-release/2025/10/31/3178246/0/en/Sauces-Dressings-and-Condiments-M,globenewswire.com,china_supply,garlic import China India,
,CITY GUIDE 2017,https://www.cityweekly.net/guidescity-guide/city-guide-2017-3983790,cityweekly.net,china_supply,garlic import China India,
,BEST of UTAH 2024,https://www.cityweekly.net/best-of-utah/best-of-utah-2024-22286728,cityweekly.net,china_supply,garlic import China India,
,"Sajid Javid , united kingdom Home Secretary Says Most Paedophiles in Country Are Of Pakistani Descent , Islamic World Ne","http://www.newageislam.com/islamic-world-news/new-age-islam-news-bureau/sajid-javid,-uk-home-secreta",newageislam.com,price_spike,garlic price rise India,
,Jain Irrigation Systems Q2 FY19 Earnings Conference Call,https://www.moneycontrol.com/news/business/earnings/jain-irrigation-systems-q2-fy19-earnings-confere,moneycontrol.com,price_spike,garlic price rise India,
,Prices And Fares : A Peep Into Old Kashmir – Countercurrents,https://countercurrents.org/2018/12/18/prices-and-fares-a-peep-into-old-kashmir/,countercurrents.org,price_spike,garlic price rise India,
,Playing Hard To Get To : Why Melbourne Should Be Your Next Culinary Destination,https://www.esquire.com/uk/food-drink/a25423056/playing-hard-to-get-to-why-melbourne-should-be-your-,esquire.com,price_spike,garlic price rise India,
,"Farm distress , low literacy , high infant mortality : The cocktail of troubles ailing Madhya Pradesh",https://scroll.in/article/903779/farm-distress-low-literacy-high-infant-mortality-the-cocktail-of-tr,scroll.in,price_spike,garlic price rise India,
,Explained : Why farmers are angry in India fastest - growing farm economy,https://www.business-standard.com/article/economy-policy/explained-why-farmers-are-angry-in-india-s-,business-standard.com,price_spike,garlic price rise India,
,"Why Thousands Of Farmers Marched To Delhi , Kolkata And Mumbai : Answers And Anger In India Fastest - Growing Farm Econo",https://www.indiaspend.com/why-thousands-of-farmers-marched-to-delhi-kolkata-and-mumbai-answers-and-,indiaspend.com,price_spike,garlic price rise India,
,"India Best Agriculture Growth Over 8 Years , But Madhya Pradesh Is",http://www.sify.com/finance/indias-best-agriculture-growth-over-8-years-but-madhya-pradesh-is-still-,sify.com,price_spike,garlic price rise India,
,"MP reports best agricultural growth over 8 years , but farm unrest prevails",https://www.business-standard.com/article/current-affairs/mp-reports-best-agricultural-growth-over-8,business-standard.com,price_spike,garlic price rise India,
,"India Best Agriculture Growth Over 8 Years , But Madhya Pradesh Is Still  Bimaru  |",https://www.indiaspend.com/indias-best-agriculture-growth-over-8-years-but-madhya-pradesh-is-still-b,indiaspend.com,price_spike,garlic price rise India,
,Why Are Public Health Officials Playing Dumb,https://www.lewrockwell.com/2018/11/bill-sardi/why-are-public-health-officials-playing-dumb-over-the,lewrockwell.com,price_spike,garlic price rise India,
,Sri Lanka : Why this is Lonely Planet top destination for 2019,http://www.traveller.com.au/sri-lanka-why-this-is-lonely-planets-top-destination-for-2019-h1783b,traveller.com.au,price_spike,garlic price rise India,
,Gift shopping ? No problem just fill in the blanks,http://www.latimes.com/projects/la-gift-guide-2018/,latimes.com,price_spike,garlic price rise India,
,"European Court of Human Rights Rules Insulting Islam Prophet  Not freedom of Expression , Islamic World News , New Age I",http://www.newageislam.com/islamic-world-news/european-court-of-human-rights-rules-insulting-islam-s,newageislam.com,price_spike,garlic price rise India,
,BUSINESS NEWS IN BRIEF 20 / 10 - News VietNamNet,https://english.vietnamnet.vn/fms/business/210177/business-news-in-brief-20-10.html,english.vietnamnet.vn,price_spike,garlic price rise India,
,50 great Auckland restaurants where you can eat well for less than $50,https://www.noted.co.nz/dining/auckland-eats/auckland-restaurants-best-under-50-metro/,noted.co.nz,price_spike,garlic price rise India,
,Best of Santa Barbara® 2018 : Eating,http://www.independent.com/news/2018/oct/18/best-santa-barbara-2018-eating/,independent.com,price_spike,garlic price rise India,
,"Tom Sietsema top restaurants in Washington , D . C .: Fall 2018",https://www.washingtonpost.com/graphics/2018/food/dc-fall-restaurant-guide/,washingtonpost.com,price_spike,garlic price rise India,
,"Fan Bingbing , Australia , Indonesia : Your Thursday Briefing",https://www.nytimes.com/2018/10/03/briefing/fan-bingbing-australia-indonesia.html,nytimes.com,price_spike,garlic price rise India,
,Edmonds Restaurant News : Farm,http://myedmondsnews.com/2017/12/edmonds-restaurant-news-farm-table-dining-snohomish-filipino-asian-,myedmondsnews.com,price_spike,garlic price rise India,
,8am,https://www.1057fmthefan.com/media/audio-channel/8am-bucks-struggles-nba-popularity,1057fmthefan.com,price_spike,garlic price rise India,
,8am,http://www.1057fmthefan.com/media/audio-channel/8am-bucks-struggles-nba-popularity,1057fmthefan.com,price_spike,garlic price rise India,
,How to revitalise your gut and stop killing off microbes,http://www.noted.co.nz/health/health/how-to-revitalise-your-gut-and-stop-killing-off-microbes/,noted.co.nz,price_spike,garlic price rise India,
,North Korea Cut Off,https://wn.com/North_Korea_CUT_OFF_-_Petrol_Supply_Eliminated_-_UN_Have_Imposed_New_Sanctions_On_Nor,wn.com,price_spike,garlic price rise India,
,Europe is a growth market for exotic citrus varieties,http://www.freshplaza.com/article/186985/Europe-is-a-growth-market-for-exotic-citrus-varieties,freshplaza.com,price_spike,garlic price rise India,
,Vietnamese passion fruit distinctive from Colombian variety,http://www.freshplaza.com/article/186861/Vietnamese-passion-fruit-distinctive-from-Colombian-variety,freshplaza.com,price_spike,garlic price rise India,
,Alert Homeland Security Constitution Free Zone,https://wn.com/Alert_Homeland_Security_Constitution_free_zone,wn.com,price_spike,garlic price rise India,
,"The DVD Wrapup : Trip to Spain , Lucky Goat , Viceroy House , Victoria & Abdul , Manolo and more « Movie City News",http://moviecitynews.com/2017/12/the-dvd-wrapup-trip-to-spain-lucky-goat-viceroy-house-victoriaabdul,moviecitynews.com,price_spike,garlic price rise India,
,June 2014 – Just another WordPress site,http://www.sabhlokcity.com/2014/06/,sabhlokcity.com,price_spike,garlic price rise India,
,Belgium exports more vegetables,http://www.freshplaza.com/article/186439/Belgium-exports-more-vegetables,freshplaza.com,price_spike,garlic price rise India,
,North America Garlic Seeds Market Overview to 2021,https://www.pr-inside.com/north-america-garlic-seeds-market-overview-to-2021-r4666015.htm,pr-inside.com,price_spike,garlic price rise India,
,US : Brussels sprouts continue to see jump in demand,http://www.freshplaza.com/article/186424/US-Brussels-sprouts-continue-to-see-jump-in-demand,freshplaza.com,price_spike,garlic price rise India,
,Page not found,https://www.naturalnews.com/2017-12-08-wintrich-years-ago-my-grandfather-fought-the-nazis-ill-keep-h,naturalnews.com,price_spike,garlic price rise India,
,Page not found,https://www.naturalnews.com/2017-12-08-good-fats-found-to-inhibit-growth-of-bad-bacteria-in-the-gut-,naturalnews.com,price_spike,garlic price rise India,
,China : Garlic export price continues to drop,http://www.freshplaza.com/article/186252/China-Garlic-export-price-continues-to-drop,freshplaza.com,price_spike,garlic price rise India,
,"Spanish onions cant win on costs , but quality and size make up for it","http://www.freshplaza.com/article/186290/Spanish-onions-cant-win-on-costs,-but-quality-and-size-make",freshplaza.com,price_spike,garlic price rise India,
,Around The  Sphere – The Moderate Voice,http://themoderatevoice.com/around-the-sphere/,themoderatevoice.com,price_spike,garlic price rise India,
,Chris Townsend Show,http://www.957thegame.com/media/audio-channel/chris-townsend-show-hour-2-29,957thegame.com,price_spike,garlic price rise India,
,"GST : Prices go up on menus at QSRs despite cut in GST , Retail News , ET Retail",https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/prices-go-up-on-me,retail.economictimes.indiatimes.com,price_spike,garlic price rise India,
,3PM,http://www.1057fmthefan.com/media/audio-channel/3pm-has-hundley-been-good-enough,1057fmthefan.com,price_spike,garlic price rise India,
,Prices go up on menus at QSRs despite cut in GST,http://articles.economictimes.indiatimes.com/industry/cons-products/food/prices-go-up-on-menus-at-qs,articles.economictimes.indiatimes.com,price_spike,garlic price rise India,
,GST : Prices go up on menus at QSRs despite cut in GST,https://economictimes.indiatimes.com/industry/cons-products/food/prices-go-up-on-menus-at-qsrs-despi,economictimes.indiatimes.com,price_spike,garlic price rise India,
,Urban Milwaukee » » Jeramey Jannene,https://urbanmilwaukee.com/author/jeramey/,urbanmilwaukee.com,price_spike,garlic price rise India,
,Pomegranate power,http://www.mypalmbeachpost.com/lifestyles/food--cooking/pomegranate-power/2T8d0Ix0OZPwWHdlWGUbqJ/,mypalmbeachpost.com,price_spike,garlic price rise India,
